ticker,company,sector,entry_date,cohort,label,is_winner,peak_mult_5y,mult_5y,source,usable_periods_screener,usable_periods_yfinance,determinate,rescued_by_screener,verdict,composite,vetoes,soft_flags,is_financial,roce,roe_latest,altman_z,fcf_posrate,ocf_np,earnings_cagr,detail,regime_label,rerating_boost,regime_cautions
EICHERMOT.NS,Eicher Motors,Auto,2011-01-01,2011,multibagger_strong,True,17.91,14.573,screener_consolidated,0,0,False,False,INDETERMINATE,0.6061,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
BOSCHLTD.NS,Bosch,Auto,2012-01-01,2012,multibagger,True,4.176,3.201,screener_consolidated,0,0,False,False,INDETERMINATE,0.4659,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
MRF.NS,MRF,Auto,2012-01-01,2012,multibagger_strong,True,7.844,7.119,screener_consolidated,0,0,False,False,INDETERMINATE,0.436,,,False,,,,,,,non-fin: insufficient ROCE history,risk_off,0.0,risk_off_tape;fx_stress
BALKRISIND.NS,Balkrishna Industries,Auto,2013-01-01,2013,multibagger_strong,True,8.821,8.406,screener_consolidated,0,0,False,False,INDETERMINATE,0.3939,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
MARUTI.NS,Maruti Suzuki,Auto,2013-01-01,2013,multibagger_strong,True,6.689,6.587,screener_consolidated,0,0,False,False,INDETERMINATE,0.4469,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
MOTHERSON.NS,Samvardhana Motherson,Auto,2013-01-01,2013,multibagger_strong,True,7.107,6.865,screener_consolidated,0,0,False,False,INDETERMINATE,0.5354,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
BHARATFORG.NS,Bharat Forge,Auto,2014-01-01,2014,multibagger,True,4.976,3.246,screener_consolidated,0,0,False,False,INDETERMINATE,0.5714,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,fx_stress
HEROMOTOCO.NS,Hero MotoCorp,Auto,2015-01-01,2015,non_multibagger,False,1.383,0.881,screener_consolidated,0,0,False,False,INDETERMINATE,0.5165,,,False,,,,,,,non-fin: insufficient ROCE history,risk_on,0.0,
UNOMINDA.NS,Uno Minda,Auto,2016-01-01,2016,multibagger_strong,True,7.341,6.706,screener_consolidated,1,0,False,False,INDETERMINATE,0.5511,,,False,0.119,0.188,6.66,1.0,1.99,,non-fin: insufficient ROCE history,risk_on,0.0,
TIINDIA.NS,Tube Investments of India,Auto,2018-01-01,2018,multibagger_strong,True,11.475,10.592,screener_consolidated,2,0,False,False,INDETERMINATE,0.531,,,False,0.126,0.146,6.78,0.5,2.2,,non-fin: insufficient ROCE history,risk_on,0.0,
