ticker,company,sector,screening_date,screening_anchor,as_of_price,price_date,csv_screening_price,csv_approx_multiple,fwd_mult_later,fwd_mult_+3y,fwd_mult_+5y,fwd_mult_last,last_price_date,is_financial,manual_tier_c,A_usable_periods,A_verdict,A_vetoes,A_detail,B_fin_status,B_usable_periods,B_composite,B_verdict,B_vetoes,B_soft_flags,B_detail,B_roce,B_altman_z,B_fcf_posrate,B_ocf_np
TITAN.NS,Titan Company,Consumer Discretionary,2010,2010-01-01,65.37,2010-01-04,71,~35x,37.96,4.1,5.62,65.21,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.414,PASS,,,ROCE=0.38(ok); fcf+=0.75; CFO/NP=0.54; Z=6.4,0.384,6.39,0.75,0.54
BAJFINANCE.NS,Bajaj Finance,Financials,2012,2012-01-01,5.45,2012-01-02,13,~60x,124.92,6.06,15.42,179.21,2026-06-29,True,,0,INDETERMINATE,,financial: insufficient ROE history,ok,5,,PASS,,,ROE=0.18(ok); g=0.32,,,0.0,-3.99
PIDILITIND.NS,Pidilite Industries,Materials,2010,2010-01-01,43.57,2010-01-04,76,~11-12x,19.78,2.47,5.98,36.72,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.711,PASS,,,ROCE=0.28(ok); fcf+=1.00; CFO/NP=1.25; Z=11.3,0.285,11.31,1.0,1.25
ASIANPAINT.NS,Asian Paints,Materials,2010,2010-01-01,153.84,2010-01-04,256,~10x,17.05,2.54,4.57,17.27,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.542,PASS,,,ROCE=0.24(ok); fcf+=1.00; CFO/NP=1.24; Z=10.0,0.244,9.96,1.0,1.24
EICHERMOT.NS,Eicher Motors,Consumer Discretionary,2011,2011-01-01,111.86,2011-01-03,126,~21x,25.37,4.08,14.5,66.39,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.638,PASS,,,ROCE=0.26(ok); fcf+=1.00; CFO/NP=0.89; Z=9.4,0.264,9.4,1.0,0.89
PAGEIND.NS,Page Industries,Consumer Discretionary,2010,2010-01-01,716.28,2010-01-04,900,~20x (approx),32.45,4.15,15.05,56.41,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.609,PASS,,,ROCE=0.61(ok); fcf+=0.75; CFO/NP=1.17; Z=8.8,0.615,8.79,0.75,1.17
ASTRAL.NS,Astral Ltd,Industrials,2015,2015-01-01,172.55,2015-01-01,50,~40x (approx),9.84,2.15,3.76,7.93,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.494,PASS,,,ROCE=0.18(ok); fcf+=1.00; CFO/NP=1.52; Z=7.8,0.177,7.85,1.0,1.52
APLAPOLLO.NS,APL Apollo Tubes,Materials,2016,2016-01-01,71.21,2016-01-01,91,~11x,13.85,1.61,5.95,25.1,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,0.526,PASS,,,ROCE=0.28(ok); fcf+=0.75; CFO/NP=1.54; Z=6.8,0.282,6.83,0.75,1.54
DEEPAKNTR.NS,Deepak Nitrite,Materials,2016,2016-01-01,69.18,2016-01-01,92,~27x,35.49,3.13,14.04,22.6,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,,FAIL,RF8 perception-only re-rating: PE=40 > 40 with 5y earnings CAGR=-13% <= 0,,vetoed: RF8 perception-only re-rating: PE=40 > 40 with 5y earnings CAGR=-13% <= 0,0.108,7.4,0.5,0.92
SRF.NS,SRF Ltd,Materials,2016,2016-01-01,240.34,2016-01-01,130,~18x (approx),9.93,1.61,4.64,11.09,2026-06-29,False,,0,INDETERMINATE,,non-fin: insufficient ROCE history,ok,5,,FAIL,RF8 perception-only re-rating: PE=45 > 40 with 5y earnings CAGR=-5% <= 0,,vetoed: RF8 perception-only re-rating: PE=45 > 40 with 5y earnings CAGR=-5% <= 0,0.145,7.28,0.75,1.52
